study,design,domain_1,domain_2,domain_3,domain_4,domain_5,overall,key_concerns
Kircanski et al. (2012),RCT,Low,Low,Low,Some concerns,Low,Some concerns,"Random allocation reported; experimenter blind to condition for some assessments; SCR is objective; outcome assessor blinding to condition during exposure not fully specified."
Tabibnia et al. (2008) Exp 2,RCT,Low,Some concerns,Low,Low,Low,Some concerns,"Random assignment confirmed; brief period of incomplete blinding plausible due to instructions; otherwise low risk."
Niles et al. (2015),RCT,Low,Some concerns,Low,Low,Some concerns,Some concerns,"Pre-registration not located; outcome reporting scattered across measures with selective emphasis on recovery-window contrasts."
"Plaisted, Waite, & Creswell (2022)",RCT,Low,Low,Low,Low,Low,Low,"Pre-registered; null result faithfully reported; complete outcome ascertainment; adolescent sample with strong age-matched controls."
Burklund et al. (2024) PTSD,Single-arm trial,High,High,Some concerns,Some concerns,High,High,"Open-label single-arm pilot; no control group; commercial COI (NeuroGen Technologies); ~13 completers; selective focus on within-subject pre-post effect sizes."
Lieberman et al. (2007),Within-subjects fMRI,Moderate,Low,Low,Low,Moderate,Moderate,"N=30 likely underpowered (Button et al. 2013); ROI definition not pre-registered; cluster thresholds pre-Eklund (2016); single laboratory."
Hariri et al. (2000),Within-subjects fMRI,Moderate,Low,Low,Low,Moderate,Moderate,"N=11; small-sample inferential limits; foundational study; reported correlations may be inflated."
Hariri et al. (2003),Within-subjects fMRI/SCR,Low,Low,Low,Low,Low,Low,"N=11; small but appropriate inference; concurrent SCR cross-validates fMRI."
Torrisi et al. (2013) DCM,Within-subjects fMRI,Moderate,Low,Low,Low,Moderate,Moderate,"DCM model selection involves substantial researcher degrees of freedom; partial reanalysis of prior data."
Burklund et al. (2014),fMRI within-subjects,Moderate,Low,Low,Low,Moderate,Moderate,"Same lab as foundational paper; ROI strategy partially data-driven; modest N."
Vives et al. (2021),Within-subjects fMRI,Low,Low,Low,Low,Low,Low,"Independent lab; clear language manipulation; appropriate ROI strategy; replication of opposite-direction effect well-documented."
Nook et al. (2021),Between-subjects behavioral,Low,Low,Low,Low,Low,Low,"Independent lab; clean design; replicated in Study 2; data and code on OSF."
Ariely et al. (2026),Between-subjects behavioral,Low,Low,Low,Low,Low,Low,"Pre-registered; independent lab; conceptual replication of Nook et al."
Vlasenko et al. (2021),Within-subjects behavioral,Low,Low,Low,Low,Low,Low,"Independent lab; four studies with consistent direction; total N=405."
Levy-Gigi & Shamay-Tsoory (2022),Within-subjects behavioral,Low,Low,Low,Low,Low,Low,"Independent lab; intensity moderator clearly tested."
Costafreda et al. (2008),Coordinate-based meta-analysis,N/A,N/A,N/A,Low,Low,Low,"Large k=385; predictor coding documented; results moderate-confidence due to between-study heterogeneity inherent to ALE."
Brooks et al. (2017),MKDA meta-analysis,N/A,N/A,N/A,Low,Low,Low,"Large k=386; clear inclusion criteria; outputs are activation density rather than effect size."
Buhle et al. (2014),Coordinate-based meta-analysis,N/A,N/A,N/A,Low,Low,Low,"Reappraisal-focused; affect labeling not directly synthesized."
Berboth & Morawetz (2021),PPI meta-analysis,N/A,N/A,N/A,Low,Low,Low,"Connectivity meta-analysis; left-vlPFC convergence relevant for affect labeling lateralization claim."
